Month,Year,Company Name,Company ID,Residential Customers,Residential Customers with Arrears Greater than 60 days,Residential Final Termination Notices,Residential Accounts Terminated,Residential Accounts Terminated Percentage,Residential Active Payment Arrangements,Residential Uncollectibles,Residential Sales,Residential Arrears Greater than 60 Days Sales,Residential Final Termination Notices Issued Sales,Residential Accounts Terminated Sales,Residential Average Sales,Residential Active Payment Arrangements Sales,Residential Uncollectibles Sales
3,2010,CE,1002,2829157,240652,217374,6501,0.22%,151139,4620,319127203.4,169882346,67955839.79,5141000,112.8,67150403,2587980.92
3,2010,CH,1001,255049,25443,23451,405,0.15%,3901,1240,40075500,13275546,12445547,435029,157.13,5938077,797018
3,2010,NGrid-LI,1003,502515,60900,2482,682,0.13%,22316,988,97927089,34632112,2014369,1306504,194.87,22594116,739646
3,2010,NGrid-NY,3010,991957,152994,53625,2906,0.29%,27600,5823,154932336.8,72410628,53510901.76,2650053.58,156.19,21469205.86,1061036.51
3,2010,NGrid-Upstate,1004,1456407,229712,98771,2606,0.17%,98461,6750,241478704.5,201131792,71007501.77,4131403.92,165.8,91586516.75,1188377.13
3,2010,NFG,3120,464366,27734,23420,367,0.07%,23968,1650,54704512.26,23808365.5,13718972.31,603293.96,117.8,19213564.93,871883.27
3,2010,NYSEG,1005,987584,78033,93142,2456,0.24%,38714,2893,85999760,23072327.92,23495541.46,1171960.77,87.08,24409713.53,-215946.94
3,2010,OR,1006,194579,17063,16534,374,0.19%,6893,-2,54876383.14,8007441.22,6648191,426882.75,282.03,7292365,116841.56
3,2010,RG&E,1007,602542,51343,51212,2058,0.34%,29531,1816,55002456,35861518.17,21150965.88,2520067.36,91.28,29323677,-582346.47
6,2010,CE,1002,2830745,231598,232701,9434,0.33%,148648,5462,337962469.5,170962135,70849431.14,8077000,119.39,71890249,3037699.3
6,2010,CH,1001,240901,24729,22160,1545,0.64%,4095,897,25925575,13727427,9811088,1501711,107.62,7516364,405996
6,2010,NGrid-LI,1003,504382,67377,2341,1562,0.30%,25045,889,28968360,39029377,2002443,2350717,57.43,25320921,751076
6,2010,NGrid-NY,3010,980540,169550,57019,5974,0.60%,34588,6156,48313463.53,77511428,47650155.87,7323381.25,49.27,28740107.73,1921042.6
6,2010,NGrid-Upstate,1004,1456973,242193,98985,8990,0.61%,111099,6994,153397077,225893798,73079065.78,12780274.13,105.28,102656177.8,5116593.69
6,2010,NFG,3120,461277,28892,18518,3769,0.81%,26146,3247,17422324.35,19320855.83,8729341.67,3066734.95,37.77,17691846.9,3338770.03
6,2010,NYSEG,1005,989395,82633,69607,5541,0.56%,43270,3410,53372673,28849899.25,12489011.17,2497982.07,53.94,26881516.85,546799.53
6,2010,OR,1006,194429,17262,14154,1366,0.70%,8615,35,33415014.94,8571754.57,4017101,1183672.67,171.86,9086579,154128.81
6,2010,RG&E,1007,602238,54388,40401,3602,0.59%,33143,2672,33278675,43232463.61,11072823.4,3910579.32,55.26,33079766.44,1012348.65
9,2010,CE,1002,2822808,224581,266432,9770,0.34%,169136,5688,342898495.3,191160847.3,91051574.76,9926000,121.47,83772240,3373957.63
9,2010,CH,1001,239991,23866,22906,1350,0.56%,3871,1106,35578785,12634049,10815443,1177282,148.25,5509624,737730
9,2010,NGrid-LI,1003,504793,69148,2396,750,0.14%,23808,1044,21784065,34608023,1660603,1210572,43.15,22715968,1192996
9,2010,NGrid-NY,3010,975006,160237,67824,3861,0.39%,35296,6960,38052597.06,63338625,38463831.26,3420990.96,39.03,26251557.48,4341378.07
9,2010,NGrid-Upstate,1004,1483805,239786,111009,7581,0.51%,101330,8875,173518945,210106251,80752251.49,9510156.97,116.94,90624502.11,6686997.68
9,2010,NFG,3120,456160,28706,15541,2178,0.47%,24334,1896,16374862.31,16465103.4,6119115.22,1278589.23,35.9,15328095.29,1772941.47
9,2010,NYSEG,1005,990690,89984,81070,4158,0.41%,49144,3110,66242742.46,27291900.21,13642525.92,1690478.14,66.87,28791220.4,722847.84
9,2010,OR,1006,194384,16112,17621,1048,0.53%,8354,77,42075615.78,7179315.87,5665246,818188.73,216.46,8480316,344615.67
9,2010,RG&E,1007,604077,58054,41438,2496,0.41%,35857,2557,32955839.48,40538431.79,8344152.4,2223504.1,54.56,34819781.3,2080262.94
12,2010,CE,1002,2850096,303846,230322,3275,0.11%,190402,6382,349584219.4,224504478.5,74109317.85,2654000,122.66,91088181,4104295.42
12,2010,CH,1001,237070,24355,22909,304,0.12%,3711,1008,31351831,12409325,9195678,261046,132.25,4754191,702366
12,2010,NGrid-LI,1003,505804,65269,2084,75,0.01%,21419,1131,67040734,32554060,1321463,107576,132.54,20095584,1068275
12,2010,NGrid-NY,3010,967994,154603,66400,1624,0.16%,29030,5498,116872686.8,55125093,35278990.16,549193.16,120.74,20714767.41,1376578.97
12,2010,NGrid-Upstate,1004,1445863,243753,99835,90,0.01%,88659,7926,224259912.6,200616710,63048056.63,199238.17,155.1,77557971.88,1197531.81
12,2010,NFG,3120,463079,24055,15787,2,0.00%,18628,1366,54435146.39,16342555.37,7335710.88,1223.04,117.55,13493837.24,-769794.47
12,2010,NYSEG,1005,993199,81575,73266,106,0.01%,48006,3761,83708688.15,27643552.88,11929802.25,40930.12,84.28,27633205.62,999786.93
12,2010,OR,1006,194882,17305,15268,126,0.06%,7411,-56,46321112.57,7475538.38,4486233,108712.12,237.69,7490402,238078.18
12,2010,RG&E,1007,607376,52656,38974,305,0.05%,35115,3062,56882112.53,37881137.25,8093456.98,182847,93.65,33917801.49,1147101.54
3,2011,CE,1002,2858371,271425,221177,9019,0.31%,177808,5568,321677943.5,212289109.9,78908970.95,8090000,112.54,91327460.15,3939387.12
3,2011,CH,1001,242477,23539,24837,441,0.18%,3388,985,42360211,12509982,13524395,398133.02,174.7,5706013.13,529583.09
3,2011,NGrid-LI,1003,506234,56033,1871,943,0.18%,22895,928,89847170,30726461,1361554,1565795,177.48,22212585,845996
3,2011,NGrid-NY,3010,974741,145646,100569,2346,0.24%,27637,4304,153307045.5,64905927,74416423.88,1307436.78,157.28,20677520.97,489129.39
3,2011,NGrid-Upstate,1004,1461873,224559,110551,1475,0.10%,92225,6540,253989195.2,219217898,78854327.14,3422667.82,173.74,90148561.97,1883874.58
3,2011,NFG,3120,465291,25813,23365,8,0.00%,21076,1532,58832461.2,20766236.76,12720650.09,6071,126.44,16254462.07,750016.84
3,2011,NYSEG,1005,991138,88760,102380,1240,0.12%,51620,2648,87701576.61,25895751.05,22883883.03,667994.5,88.49,30495281.99,169888.39
3,2011,OR,1006,195099,17690,16721,0,0.00%,7370,-69,51788408.75,8593797.93,6636463,0,265.45,7697357,226768.58
3,2011,RG&E,1007,606145,55748,58403,1728,0.28%,38604,1832,55319071.59,37401552.47,17035901.95,1734215.93,91.26,37749024.44,-4932.53
6,2011,CE,1002,2861438,258072,229056,6436,0.22%,169628,4771,337275208.2,205533588,77508458.72,7271000,117.87,93305377,3369127.93
6,2011,CH,1001,239275,24948,24114,2101,0.87%,3807,750,24059091,14324199,10343722,2146877.52,100.55,5124032.34,429912.61
6,2011,NGrid-LI,1003,507695,66779,2740,1828,0.36%,23636,769,30854424,34226431,2150368,2464581,60.77,22544274,629844
6,2011,NGrid-NY,3010,965640,162232,84755,5559,0.57%,32255,5570,50309531.11,73917494,60099279.21,4460104.46,52.1,25800159.67,1584719.04
6,2011,NGrid-Upstate,1004,1472065,236903,112486,8542,0.58%,97625,7007,156758644.6,245882721.6,81100367.53,16651508.71,106.49,96718058.83,5406547.94
6,2011,NFG,3120,464180,31149,21867,5257,1.13%,27036,2496,19919589.36,18894880.35,9395943.62,4262337.55,42.91,16394008.47,1779532.05
6,2011,NYSEG,1005,992988,96564,80087,486,0.04%,56069,3220,55880687.2,31870650.02,14874083.69,197244.47,56.28,31688629.62,1296775.42
6,2011,OR,1006,195258,18063,15115,774,0.39%,8152,68,32804340.29,9632838.81,4480778,889754.1,168.01,8586227,248536.79
6,2011,RG&E,1007,606255,59941,46032,515,0.08%,40559,2080,35573108.81,43167406.27,10866103.91,415441.76,58.68,38227308.01,72184.11
9,2011,CE,1002,2867354,246750,281411,7469,0.26%,169803,5983,359824033.4,225692300.2,109241913.6,8691000,125.49,90052750,3989823.55
9,2011,CH,1001,237128,24758,22658,1310,0.55%,3322,958,32939159,12986211,10953374,1142279.97,138.91,4731245.64,598581
9,2011,NGrid-LI,1003,508987,72791,2558,418,0.08%,21354,1216,24563410,32177854,1677899,769305,48.26,19108774,1644110
9,2011,NGrid-NY,3010,952943,161045,70488,3479,0.36%,31976,5816,39743818.34,65127568,42335266.96,2329619.32,41.71,23735075.26,2515434.51
9,2011,NGrid-Upstate,1004,1482813,234571,115518,7081,0.47%,93040,8092,165759561.7,226733826.7,75091725.43,11189663.48,111.79,89809917.96,8672969.68
9,2011,NFG,3120,458286,32162,18231,2748,0.59%,26464,1812,15698242.12,15735904.01,6656655.1,1282782.87,34.25,14098425.7,1121599.69
9,2011,NYSEG,1005,992588,103449,78239,1295,0.13%,59758,3359,61584162.75,34098851.88,13037256.95,621410.58,62.04,31579021.31,1195526.29
9,2011,OR,1006,195258,17593,16969,604,0.30%,7595,108,39127707.01,8419733.62,5357127,581750.83,200.39,7957239,405874.99
9,2011,RG&E,1007,607792,65677,44239,1034,0.17%,40648,2489,34067951.85,44509892.21,9238156.04,914108.95,56.05,36231583.59,1601606.54
12,2011,CE,1002,2874562,302479,232953,3739,0.13%,175695,6705,308002238.6,236481043.8,81992980.75,4030000,107.15,87559173,4251435.13
12,2011,CH,1001,236785,24528,24157,279,0.11%,3535,1147,21342618,12603578,9236795,242834.6,90.14,4530820,765930.09
12,2011,NGrid-LI,1003,510026,64486,2157,169,0.03%,21389,1156,55722190,29469162,1320479,249801,109.25,18572691,1041194
12,2011,NGrid-NY,3010,941719,151288,67749,2244,0.23%,27162,5300,99340193.06,56272984,36639532.94,1171206.79,105.49,19882374.42,1290862.79
12,2011,NGrid-Upstate,1004,1451929,230115,101177,551,0.03%,80299,9127,200120626.8,209255229.1,56597051.94,811771.73,137.83,72881262.16,5797622.52
12,2011,NFG,3120,464397,24748,17416,209,0.04%,19979,1227,43785925.63,14320186.47,6530176.27,149187.48,94.29,11887324.49,-376954.11
12,2011,NYSEG,1005,991455,100381,75935,488,0.04%,62362,3988,74606365.49,33625641.87,12750936.05,198986.81,75.25,31365580.55,983800.99
12,2011,OR,1006,195282,17611,15038,307,0.15%,7224,11,42583120.24,8187598.03,4517437,310559.25,218.06,7329682,178666.27
12,2011,RG&E,1007,609378,62927,41438,374,0.06%,40931,2699,48228586.5,42161214.43,8830205.77,161481.74,79.14,35504144.17,869197.98
3,2012,CE,1002,2879469,274045,219436,7259,0.25%,159101,4438,300990249.5,216707643.3,80448527.43,6865000,104.53,80840893.47,3792723.67
3,2012,CH,1001,231891,21766,23750,574,0.24%,2778,1026,32897328,11585863,10650793,457794.09,141.87,4024566.29,559402
3,2012,NFG,3120,467248,19398,20592,346,0.07%,16749,1505,48766160.91,11493788.51,8161132.36,359415.37,104.37,8875108.37,-44706.16
3,2012,NGrid-LI,1003,511536,57050,2164,457,0.08%,20704,868,66574024,29075551,1355775,589079,130.15,18272079,569651
3,2012,NGrid-NY,3010,942316,138414,78636,2052,0.21%,24076,4481,116851239.5,59740972,54222297.12,976654.6,124,18511253.16,922495.15
3,2012,NGrid-Upstate,1004,1459558,208115,105021,3247,0.22%,80740,6110,188392700.1,209322711.2,65969314.56,4612968.96,129.08,78834320.04,2209067.3
3,2012,NYSEG,1005,991576,107681,79984,1069,0.10%,64030,3337,74778014,31907998.53,16777803.74,628753.31,75.41,31316138.76,749890.5
3,2012,OR,1006,195442,16052,18009,527,0.26%,7053,7,44271285.58,7822924.88,6485714,462924.31,226.52,7300603,272954.59
3,2012,RG&E,1007,609812,65796,46293,939,0.15%,42966,2296,50887563,41172185.17,12502034,909531.17,83.45,36971775.09,1263674.43
6,2012,CE,1002,2872173,253561,226052,7379,0.25%,142243,4841,320428908.9,199589081.1,76917643.01,8232000,111.56,76200934.46,3938577.58
