Department ID,Department-Division,PCN,Position Title,FLSA Status,Initial Hire Date,Date in Title,Salary,Years Approx
AGR,AGR 010 Cooperative Extension Program,B.001801,Administrative Assistant,,06/01/2004,06/01/2004,$46321.34,14.01095890410959
AGR,AGR 010 Cooperative Extension Program,B.002434,Administrative Assistant,,08/16/1993,05/16/1999,$48529.52,19.06027397260274
AGR,AGR 001 Directors Office,B.001326.1     ,Administrative Specialist II,,09/03/1985,05/01/2013,$65263.38,5.090410958904109
AGR,AGR 001 Directors Office,B.004807,Director of Agriculture,,10/01/2008,10/01/2008,$126403.68,9.673972602739726
AGR,AGR 110 Farmers Market,B.000190.1     ,Farmer's Market Supervisor,,03/16/2017,03/16/2017,$35578.40,1.2136986301369863
AGR,AGR 001 Directors Office,B.003590,Rural Community Coordinator,,08/16/2003,12/07/2016,$73695.96,1.484931506849315
AUD,AUD 180 City Auditor,B.001048.1     ,Administrative Specialist I,,09/01/1995,10/16/2009,$49509.98,8.632876712328768
AUD,AUD 180 City Auditor,B.002492,Auditor II,,03/01/2002,03/01/2002,$60304.92,16.265753424657536
AUD,AUD 180 City Auditor,B.004376,Auditor II,,04/07/2016,04/07/2016,$62401.56,2.1534246575342464
AUD,AUD 180 City Auditor,B.005728,Auditor IV,,03/16/2003,08/22/2014,$78289.64,3.780821917808219
AUD,AUD 180 City Auditor,B.002257,Auditor IV,,07/16/1987,08/01/2009,$105288.30,8.841095890410958
AUD,AUD 180 City Auditor,B.003023,Auditor IV,,01/16/1994,07/16/2003,$113822.28,14.89041095890411
AUD,AUD 180 City Auditor,B.000983,City Auditor,,05/15/2008,05/15/2008,$127744.76,10.054794520547945
CAD,CAD 010 City Attorney,B.001627,Account Clerk III,,05/16/1990,11/16/1996,$46199.14,21.556164383561644
CAD,CAD 010 City Attorney,B.001527.1     ,Assistant City Attorney,,11/07/2016,11/07/2016,$71032.26,1.5671232876712329
CAD,CAD 010 City Attorney,B.000103,Assistant City Attorney,,10/22/2015,10/22/2015,$74535.24,2.6136986301369864
CAD,CAD 010 City Attorney,B.007090,Assistant City Attorney,,08/07/2016,08/07/2016,$75769.72,1.819178082191781
CAD,CAD 010 City Attorney,B.005024.1     ,Associate City Attorney,,07/07/2014,04/07/2015,$87560.20,3.1561643835616437
CAD,CAD 010 City Attorney,B.004361,Associate City Attorney,,11/22/2015,11/22/2016,$88415.86,1.526027397260274
CAD,CAD 010 City Attorney,B.001082,Associate City Attorney,,04/16/2013,11/22/2016,$89963.64,1.526027397260274
CAD,CAD 010 City Attorney,B.004750,Associate City Attorney,,06/16/2010,04/22/2016,$90784.98,2.1123287671232878
CAD,CAD 010 City Attorney,B.002227,Associate City Attorney,,04/22/2016,04/22/2016,$94032.38,2.1123287671232878
